epoch,step,train_loss,val_loss
0,74,,1.8226040601730347
0,74,2.0246641635894775,
1,149,,1.7130223512649536
1,149,1.7412623167037964,
2,224,,1.6435860395431519
2,224,1.66843581199646,
3,299,,1.6146332025527954
3,299,1.6130918264389038,
4,374,,1.599143147468567
4,374,1.5921465158462524,
5,449,,1.5893195867538452
5,449,1.5802600383758545,
6,524,,1.5817203521728516
6,524,1.5709539651870728,
7,599,,1.57555091381073
7,599,1.5648813247680664,
8,674,,1.571784257888794
8,674,1.5591789484024048,
9,749,,1.5675287246704102
9,749,1.5549464225769043,
